SSGIFTSV07,SANABEL GIFT SV07,2660
N50045,CAKE DECORATION,13860
CHAO4,FC CLASSIQUE CHAOS,2664
AL008 Roll 8cm,AL008 Roll 8cm,12.61
BL06,Chocolate Paper,180
11056003000016,Normal Chocolate Gift 160,4
XY08-380A,DECORATION,540
K-5-1,Gold Chocolate Tray: 50x34CM,2
HLS02,Halawa Pistachio Square,1004
D021-TRAY-010,CAKE TRAY 33*33CM,28
E13,EASTER STANDING BUNNY,100
SSGIFT86,Sanabel Gift 86,4
RSGIFT11,Raseel Gifts KSA 11,4
Pallet 1,Plastic Pallets (Size 120cm*100cm*15cm),90
SSGIFT38SD,SANABEL GIFT 38SD,340
B10893-14,Accessories (D155),284
C2612,Silver Mesh Ribbon 1.5"X25ys,540
SLSS016,Tin Sleeve Large Rect Mamoul Asstd 1 Kg,6398
SSGIFT17S,Sanabel Gift 17S,226
N017,CHOCOLATE PAPER,180
BOXLEA38,Leather Box Pink 40x35x4cm,429
DISCO20,UNDER-CAKE ROUND PLATES,18
BS-F,Biscuit Filling (5Kg),74
A1-0270-40 PINK,A1-0270-40 PINK,273
HR07CH-2009,Blue Heart Chocolate,61
TRAWD090,Tray 49x29x5,43
BOXLEA61,Leather Box Pink 28 * 28 *4 Cm,468
M12,Sesame Malban & Hazelnut Gianduja,21
AT001-0050-P690,Gold-Sattan(5cm X 20m),283
ConeLLP 03,Cone Collection With Marshmallow,550
DR500-CMD,Camden Dates Roll 500,233
A10270-32-Pink,Wooden Stickers (D151),1445
JM14-10EF BLUE,WILLOW BASKET (Set Of Two),10
J-8 BLUE,Wooden Sticker,56
CRS11,Dark Cacao Cream,897.2
SAS-CRAFTTRAY,SANABEL CRAFT TRAY,10297
187434-514,Plastic Tray,199
DEC2,FC DENTELLE BLANCHE 100X180,7186
C49353-8,Tray (Clock),447
NET-B1-0533-3-SILVER,Z,62
3653,TIN BOX,132
MA1611,CHOCOLATE MOULD,16
PT-9010,Mould,96
Q6-225-227,Paper Box,5650
20162,Choco Dates Box (5.3x3.5x2.5),37
XD1316,GLASS VASE,12
SSGIFT11LB,Sanabel Gift 11L-B,18
GT04,Chocolate Tart-Caramel,280
RS03,Feuttine Biscuits Roche In Milk Chocolate,175
BOXLEA15,Leather Box White 13x13x3.6cm,6
BWT16,BABY WOODEN TRAY (DRAGON),1
BOXPTHB03 (EU),Gourmet Box Dried Fruits SF EU,2316
SA228-LU,BOX,21
EC21,EASTER EGG 350GM,379
BK-Rifayi,Al Rifayi Assorted Baklawa,10320
D060-PAPERBOX-5,D060-PAPERBOX-5 (2types,4800),3750
TRAWD064,Wooden Tray 30x23,596
B36890-8,Gold Tray (D155),1330
F-TRAY 8,FRAME TRAY (-DOUBLE RECTANGLE)95*50*12,4
CMM03,CHOCOLATE MACHINE 30kg,17
EC 017,Medium Easter Egg,19
MN45,Malban Nougat Variety,155
FM-4,FM-4,84
V5108,Silver Mettalic Ribbon With Square 1.5 " 25 Ys,673
SM-DR DEXTROSEBLUE,DRAGEE PEARL W DEXTROSE BLUE,302
BC14,Brownie Collection,431
D-004,Silicon Cake Mould,9
D197-PAPERBOX05OR,D197 Paper Box05OR,2000
